race_key,runner_key,race_date,track,race_number,runner_id,saddle_number,horse_name,split_sequence,split_label,split_start_distance_metres,split_end_distance_metres,split_distance_metres,segment_time_seconds,position_at_split_end,average_speed_source,source_page_url,source_payload_file,semantic_version,split_coverage_type,split_window_start_marker_metres,split_window_finish_marker_metres,split_window_distance_metres,full_race_split_coverage
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633824,2026-05-30,Caulfield,9,15633824,15,Piastri,3,800m-600m,800,600,200,11.05,10,18.1,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633824,2026-05-30,Caulfield,9,15633824,15,Piastri,4,600m-400m,600,400,200,11.92,7,17.74,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633824,2026-05-30,Caulfield,9,15633824,15,Piastri,5,400m-200m,400,200,200,12.19,5,16.88,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633824,2026-05-30,Caulfield,9,15633824,15,Piastri,6,200m-FINISH,200,0,200,12.88,2,15.46,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15635701,2026-05-30,Caulfield,9,15635701,16,Hezdarnhottoo (NZ),1,1200m-1000m,1200,1000,200,13.9,1,17.3,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15635701,2026-05-30,Caulfield,9,15635701,16,Hezdarnhottoo (NZ),2,1000m-800m,1000,800,200,11.1,2,18.01,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15635701,2026-05-30,Caulfield,9,15635701,16,Hezdarnhottoo (NZ),3,800m-600m,800,600,200,11.23,2,17.82,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15635701,2026-05-30,Caulfield,9,15635701,16,Hezdarnhottoo (NZ),4,600m-400m,600,400,200,11.68,1,17.18,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15635701,2026-05-30,Caulfield,9,15635701,16,Hezdarnhottoo (NZ),5,400m-200m,400,200,200,12.15,1,16.49,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15635701,2026-05-30,Caulfield,9,15635701,16,Hezdarnhottoo (NZ),6,200m-FINISH,200,0,200,13.33,1,15.08,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15635670,2026-05-30,Picklebet Park Werribee,1,15635670,1,Astern Fight,1,800m-600m,800,600,200,10.92,3,18.32,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15635670,2026-05-30,Picklebet Park Werribee,1,15635670,1,Astern Fight,2,600m-400m,600,400,200,11.86,3,16.86,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15635670,2026-05-30,Picklebet Park Werribee,1,15635670,1,Astern Fight,3,400m-200m,400,200,200,11.94,4,16.75,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15635670,2026-05-30,Picklebet Park Werribee,1,15635670,1,Astern Fight,4,200m-FINISH,200,0,200,12.22,1,16.37,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15636746,2026-05-30,Picklebet Park Werribee,1,15636746,2,Le Glacon,1,800m-600m,800,600,200,10.96,5,18.25,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15636746,2026-05-30,Picklebet Park Werribee,1,15636746,2,Le Glacon,2,600m-400m,600,400,200,11.92,5,16.78,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15636746,2026-05-30,Picklebet Park Werribee,1,15636746,2,Le Glacon,3,400m-200m,400,200,200,12.22,5,16.37,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15636746,2026-05-30,Picklebet Park Werribee,1,15636746,2,Le Glacon,4,200m-FINISH,200,0,200,12.56,6,15.92,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15632871,2026-05-30,Picklebet Park Werribee,1,15632871,4,Regal Vanguard,1,800m-600m,800,600,200,10.88,1,18.38,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15632871,2026-05-30,Picklebet Park Werribee,1,15632871,4,Regal Vanguard,2,600m-400m,600,400,200,11.8,1,16.95,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
2026-05-30|PICKLEBET PARK WERRIBEE|R01,2026-05-30|PICKLEBET PARK WERRIBEE|R01|RUNNER:15632871,2026-05-30,Picklebet Park Werribee,1,15632871,4,Regal Vanguard,3,400m-200m,400,200,200,12.24,1,16.34,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d6d920c7bf01727fe8.json,RACINGCOM_SPEED_SEMANTICS_V1_1,PARTIAL_TIMING_WINDOW,800,0,800,false
