workspace_id,meeting_key,race_key,generated_at,race_date,track,race_no,no,horse,epi,market,open,high,low,move,edgeiq_price,edge,status,source,source_timestamp,source_confidence,row_status,market_availability_status,market_source_status,market_observed_at,market_generated_at,market_age_minutes,market_freshness_status,market_is_live
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,4,Diwali,,16.20,,,,,2062.75,-99.2%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,5,Go Daddy,73.53,21.30,,,,,6.12,+248.0%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,6,Nearco Frod,77.43,2.70,,,,,5.71,-52.7%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,7,Smokin' Princess,23.69,26.00,,,,,27.20,-4.4%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,8,Tempesti,67.11,17.00,,,,,6.91,+146.0%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,9,Think Giant,,5.30,,,,,,,EDGEiQ Price Pending,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,10,Beach Pad,67.53,12.00,,,,,6.86,+74.9%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,11,Urban Outlook,100.00,34.00,,,,,4.06,+737.4%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R4,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,4,1,Regal Zeus,71.72,12.00,,,,,4.42,+171.5%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R4,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,4,2,Run Harry Run,50.80,5.00,,,,,6.99,-28.5%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R4,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,4,3,Craig,51.37,6.50,,,,,6.89,-5.7%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R4,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,4,4,Freedom Rally,15.66,14.00,,,,,32.32,-56.7%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R4,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,4,5,First Chorus,79.10,2.80,,,,,3.88,-27.8%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R4,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,4,6,Justadeel,64.50,3.20,,,,,5.09,-37.1%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R4,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,4,7,Asva,,17.40,,,,,,,EDGEiQ Price Pending,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R4,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,4,8,St Lawrence,,12.60,,,,,1441.71,-99.1%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R5,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,5,1,Unit Five,36.67,12.50,,,,,13.60,-8.1%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R5,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,5,2,Incognito,,3.30,,,,,,,EDGEiQ Price Pending,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R5,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,5,3,Divine Dot,59.25,9.00,,,,,5.04,+78.6%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R5,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,5,4,Hellfire Jess,16.88,34.00,,,,,818.31,-95.8%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R5,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,5,5,Jacaranda,44.10,13.00,,,,,9.01,+44.3%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R5,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,5,6,Mull Of Kintyre,66.75,7.00,,,,,4.07,+72.0%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
