race_key,runner_key,race_date,track,race_number,runner_id,saddle_number,horse_name,split_sequence,split_label,split_start_distance_metres,split_end_distance_metres,split_distance_metres,segment_time_seconds,position_at_split_end,average_speed_source,source_page_url,source_payload_file,semantic_version
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637372,2026-05-30,Caulfield,1,15637372,8,Vivid Storm,4,600m-400m,600,400,200,11.97,1,16.71,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637372,2026-05-30,Caulfield,1,15637372,8,Vivid Storm,5,400m-200m,400,200,200,11.54,2,17.38,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637372,2026-05-30,Caulfield,1,15637372,8,Vivid Storm,6,200m-FINISH,200,0,200,12.32,2,16.26,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637813,2026-05-30,Caulfield,1,15637813,9,Autumn Rainbow,1,1200m-1000m,1200,1000,200,14.98,8,16.07,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637813,2026-05-30,Caulfield,1,15637813,9,Autumn Rainbow,2,1000m-800m,1000,800,200,11.48,8,17.43,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637813,2026-05-30,Caulfield,1,15637813,9,Autumn Rainbow,3,800m-600m,800,600,200,12.37,8,16.18,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637813,2026-05-30,Caulfield,1,15637813,9,Autumn Rainbow,4,600m-400m,600,400,200,11.94,8,16.99,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637813,2026-05-30,Caulfield,1,15637813,9,Autumn Rainbow,5,400m-200m,400,200,200,11.35,6,17.84,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15637813,2026-05-30,Caulfield,1,15637813,9,Autumn Rainbow,6,200m-FINISH,200,0,200,11.98,5,16.88,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15634770,2026-05-30,Caulfield,1,15634770,11,Monumentum,1,1200m-1000m,1200,1000,200,14.52,5,16.58,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15634770,2026-05-30,Caulfield,1,15634770,11,Monumentum,2,1000m-800m,1000,800,200,11.68,5,17.13,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15634770,2026-05-30,Caulfield,1,15634770,11,Monumentum,3,800m-600m,800,600,200,12.26,5,16.31,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15634770,2026-05-30,Caulfield,1,15634770,11,Monumentum,4,600m-400m,600,400,200,11.82,4,16.99,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15634770,2026-05-30,Caulfield,1,15634770,11,Monumentum,5,400m-200m,400,200,200,11.52,3,17.48,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R01,2026-05-30|CAULFIELD|R01|RUNNER:15634770,2026-05-30,Caulfield,1,15634770,11,Monumentum,6,200m-FINISH,200,0,200,12.24,4,16.49,https://www.racing.com/form/2026-05-30/caulfield/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a3072255c6b4ea5989.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15635698,2026-05-30,Caulfield,2,15635698,2,Emmadella,1,1200m-1000m,1200,1000,200,14.15,4,17.29,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15635698,2026-05-30,Caulfield,2,15635698,2,Emmadella,2,1000m-800m,1000,800,200,10.78,4,18.55,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15635698,2026-05-30,Caulfield,2,15635698,2,Emmadella,3,800m-600m,800,600,200,10.79,5,18.53,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15635698,2026-05-30,Caulfield,2,15635698,2,Emmadella,4,600m-400m,600,400,200,11.92,5,17.24,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
2026-05-30|CAULFIELD|R02,2026-05-30|CAULFIELD|R02|RUNNER:15635698,2026-05-30,Caulfield,2,15635698,2,Emmadella,5,400m-200m,400,200,200,12.16,6,16.6,https://www.racing.com/form/2026-05-30/caulfield/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_e6294bfdb2c56d4301.json,RACINGCOM_SPEED_SEMANTICS_V1
