raceDate,meeting,raceNumber,runnerNumber,runnerName,rating,epi,marketPrice,edgeiqPrice,earlySpeed,suitability,raceShape,lateSpeed,formMomentum,preparationProfile,sectionalRunMatches,benchmarkRunMatches
2026-08-23,Wangaratta,1,13,Thinking Positive,,44.94,15.0,10.87,56.7492,53.5,MAP_ADVANTAGE,59.0649,-2.6,YES,3,3
2026-08-23,Wangaratta,2,1,Barrett Reef,,,81.0,,,50.8,,,,,0,0
2026-08-23,Wangaratta,2,2,Kokonda,,59.4,4.0,7.2,58.7,49.9,MAP_ADVANTAGE,46.3,-1.6,YES,5,5
2026-08-23,Wangaratta,2,3,Skilled Sailor,,73.32,26.0,4.8,55.3,50.5,CLOSING_SETUP,36.4,-1.1,YES,6,6
2026-08-23,Wangaratta,2,4,The Archer,,28.475,19.0,54.82,56.3,52.1,NEUTRAL,61.1444,0.2,YES,8,8
2026-08-23,Wangaratta,2,5,Cosmic Command,,53.29,16.0,9.01,57.4,53.2,MAP_ADVANTAGE,58.7,-1.5,YES,1,1
2026-08-23,Wangaratta,2,6,Hot Spirit,,47.87,18.0,11.43,57.82,51.8,MAP_ADVANTAGE,59.4,-1.8,YES,6,6
2026-08-23,Wangaratta,2,7,I'lluvyoulongtime,,,126.0,,,,,,,,0,0
2026-08-23,Wangaratta,2,8,I'mfallinforyou,,57.21,12.0,7.77,56.3,55.0,NEUTRAL,59.7,-1.4,YES,8,8
2026-08-23,Wangaratta,2,9,Sister's Run,,20.64,23.0,1038.36,58.0155,54.8,MAP_ADVANTAGE,58.7377,0.8,YES,0,0
2026-08-23,Wangaratta,2,10,Xuxa Kiss,,50.825,5.5,9.99,56.9,57.6,NEUTRAL,63.3,-0.0,YES,3,3
2026-08-23,Wangaratta,2,11,You Said What,,22.0125,4.4,323.46,54.5,57.9,CLOSING_SETUP,60.4,-1.0,YES,8,8
2026-08-23,Wangaratta,2,12,Gilgeous,,,5.5,,,,,,,,0,0
2026-08-23,Wangaratta,2,13,The Cellist,,46.27,17.0,12.36,52.85,52.9,CLOSING_SETUP,63.61,,YES,2,2
2026-08-23,Wangaratta,2,14,Rock The Vendi,,,14.0,,56.4389,,,60.2968,,,0,0
2026-08-23,Wangaratta,2,15,Fierce Ruby,,,61.0,,55.4074,57.0,NEUTRAL,60.5278,,,0,0
2026-08-23,Wangaratta,2,16,Aniketos,,,126.0,,,,,,,,0,0
2026-08-23,Wangaratta,2,17,Lull Us Away,,31.2875,126.0,37.75,,48.7,,,,YES,1,1
2026-08-23,Wangaratta,2,18,Okeah,,49.79,71.0,10.45,53.6,50.4,CLOSING_SETUP,54.3,-1.5,YES,3,3
2026-08-23,Wangaratta,3,1,Adieu Grasse,,38.41,41.0,6.46,,53.2,,,-3.1,YES,4,4
2026-08-23,Wangaratta,3,2,Flood The Bar,,32.85,81.0,9.61,,46.2,,,-1.5,YES,2,2
2026-08-23,Wangaratta,3,3,Kensington City,,20.1,11.0,75.78,,50.0,,,-1.8,YES,5,5
2026-08-23,Wangaratta,3,4,Opinion Leader,,,19.0,,,,,,,YES,2,2
2026-08-23,Wangaratta,3,5,Bourdeto,,17.575,8.0,415.17,58.2,52.9,MAP_ADVANTAGE,25.1,-1.3,YES,3,3
2026-08-23,Wangaratta,3,6,He Xiangu,,,23.0,,,52.2,,,-3.1,YES,1,1
2026-08-23,Wangaratta,3,7,Miss Navratilova,,47.95,6.5,3.96,,50.0,,,-0.9,YES,6,6
2026-08-23,Wangaratta,3,8,Naughty Jamie,,,7.5,,58.569,57.6,MAP_ADVANTAGE,62.8376,,,0,0
2026-08-23,Wangaratta,3,9,Some Comfort,,,17.0,,,,,,,,0,0
2026-08-23,Wangaratta,3,10,Cha Ching King,,,1.8,,,,,,,,0,0
2026-08-23,Wangaratta,3,11,Tallingas Avanti,,,19.0,,,,,,,,0,0
2026-08-23,Wangaratta,3,12,Agoraphobic,,66.54,8.5,2.11,57.0,,,62.6,,YES,8,8
2026-08-23,Wangaratta,4,1,Brazen Martini,,42.7875,34.0,13.27,57.28,54.5,MAP_ADVANTAGE,58.93,0.0,YES,8,8
2026-08-23,Wangaratta,4,2,Cries And Whispers,,52.66,4.8,9.01,57.56,59.6,MAP_ADVANTAGE,60.84,-0.5,YES,3,3
2026-08-23,Wangaratta,4,3,Tallingas Wisdom,,,16.0,,,,,,,,0,0
2026-08-23,Wangaratta,4,4,True Beauty,,,81.0,,,,,,,,0,0
2026-08-23,Wangaratta,4,5,Ying Moon,,,21.0,,,,,,,,0,0
2026-08-23,Wangaratta,4,6,Blue Valentine,,58.74,16.0,7.43,,52.2,,,-0.4,YES,3,3
2026-08-23,Wangaratta,4,7,Frosted Amber,,54.925,10.0,8.36,,58.1,,,-1.8,YES,5,5
2026-08-23,Wangaratta,4,8,Groan,,,19.0,,,,,,,,0,0
2026-08-23,Wangaratta,4,9,Love Wine,,,31.0,,,,,,,,0,0
2026-08-23,Wangaratta,4,10,Shows No Shame,,58.5,16.0,7.48,56.1,54.7,NEUTRAL,62.1,-3.9,YES,8,8
2026-08-23,Wangaratta,4,11,Snitchy,,30.725,8.5,26.83,53.89,56.3,NEUTRAL,65.02,1.2,YES,5,5
2026-08-23,Wangaratta,4,12,Cultural Interest,,,7.0,,,,,,,,0,0
2026-08-23,Wangaratta,4,13,Jourama,,37.55,3.0,17.25,58.57,54.9,MAP_ADVANTAGE,60.88,,YES,1,1
2026-08-23,Wangaratta,4,14,Whimsy Smile,,45.975,2.25,11.57,53.53,,,65.05,,YES,2,2
2026-08-23,Wangaratta,4,15,Mulgowie,,40.975,61.0,14.45,,47.7,,,-0.8,YES,4,4
2026-08-23,Wangaratta,4,16,Wunderlust,,14.1,81.0,1291.02,57.4452,55.0,MAP_ADVANTAGE,61.7597,-3.4,YES,4,4
2026-08-23,Wangaratta,4,17,Rock It Fuel,,26.425,51.0,39.14,54.29,,,65.09,,YES,2,2
2026-08-23,Wangaratta,4,18,Coachella Lass,,27.0,34.0,36.97,,50.8,,,-0.9,YES,3,3
2026-08-23,Wangaratta,4,19,Valorada,,55.36,71.0,8.24,54.83,50.1,NEUTRAL,59.94,-1.8,YES,6,6
2026-08-23,Wangaratta,5,1,Paparazzo,,63.01,7.5,10.94,57.0,54.9,CLOSING_SETUP,60.48,-1.0,YES,14,14
2026-08-23,Wangaratta,5,2,Raven's Silver,,49.1,6.0,24.04,57.1,65.0,CLOSING_SETUP,61.09,-2.2,YES,21,21
2026-08-23,Wangaratta,5,3,Chicago Blues,,37.925,3.8,94.03,58.7,55.5,PRESSURE_RISK,39.6,-6.1,YES,5,5
2026-08-23,Wangaratta,5,4,Shelly's Legacy,,80.89,14.0,5.96,,62.6,,,-2.7,YES,9,9
2026-08-23,Wangaratta,5,5,Moonbird,,44.275,16.0,37.08,,59.0,,,-5.6,YES,20,20
2026-08-23,Wangaratta,5,6,Racetothebottom,,42.73,8.0,44.14,,61.7,,,-4.2,YES,6,6
2026-08-23,Wangaratta,5,7,Kentahten,,32.525,17.0,1152.35,64.5,61.1,PRESSURE_RISK,60.21,-1.0,YES,32,32
