current_canonical_runner_id,current_canonical_horse_name,historical_canonical_horse_id,historical_canonical_horse_name,identity_resolution_method,identity_resolution_status,identity_resolution_reason_code,historical_name_collision_count,identity_builder_version,identity_method_version,identity_bridge_evidence_sha256
RCOM_HORSE_5311514,Mickio,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,ac80336e1e96042aff79f63e6089f7c1b2d407ad7a885bb16a6b741b8aae6a5d
RCOM_HORSE_5311674,Beach Pad,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,b03fb2dfcbf6aace9eb058c3ebf2059b9ba7909984947e3e9aabc2d706ab9db2
RCOM_HORSE_5311692,Watchme Win,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,a76cfe19264e2ef32af035c0477aac935a5b72741432086441c0fd9ed693e832
RCOM_HORSE_5311700,Boulder Jack,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,91342ca8a3a6d27c354958d350b37471c0b9143f803a9feda1751889c6eec04e
RCOM_HORSE_5313226,Miraval Rose,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,e3aaa8d389ec724ecff2cf55a597320eb179e9f7c731801257cbf2ac783ea6bc
RCOM_HORSE_5313443,Amore Lunare,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,c2c9812a054265b4b9a18e9491f1f589e1c1c168557d4b937412e289aa166285
RCOM_HORSE_5313865,Diwali,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,57b9a3994ee8ef169029d4c852a587d2e731a8926f5981ec7ad337b8359b5698
RCOM_HORSE_5315290,Azeola,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,a1000f52df92d873580c97292d376950a21657c98d0b0836d0fbc671067e4e72
RCOM_HORSE_5316452,Quello Dorato,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,8017e37c2a79645839250606ac20fa1c3276e24a16dc0869e57f2cbde74613f5
RCOM_HORSE_5316795,St Lawrence,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,f5ab50fdf6d5bd20d18e51a6df22dc50c2c05d9f36655be3b1fde97690d05851
RCOM_HORSE_5317176,Tomanado,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,acced9aaab4487cd0a169b9a4974c2bcd2bb21e9ab63f12cfd1b6fc5741b3a60
RCOM_HORSE_5321255,Iberian Lynx,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,1511116bdc1895bcd924e2e51eac864505bb2a486850399bb6fbf5009f70796a
RCOM_HORSE_5321441,Reasonable Point,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,27941582591fee2f0e2c9b51325a78b42c0115d8424ee3dc5ed972d897fe1f3a
RCOM_HORSE_5321490,Salsa Fellow,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,de0600f98a5df8645f3a527a7571457f520ca2ea1ec9ed9f15e8819343528de8
RCOM_HORSE_5322946,Dancing Storm,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,1f1c029fdf80f06879b2b4fb94f4ade01f4369e5f81dcdd8d440d35d86927cb6
RCOM_HORSE_5323035,Lack Of Restraint,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,1fd2324437f5a41a0abc316cccaaa19ae11303d700f90c5ee180b73a38ed2afc
RCOM_HORSE_5323179,Behaviour,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,6dda59b2bb781fd50424b9aba8d5611e72d98342ac5f9351c31bd7f089301864
RCOM_HORSE_5323630,Winnasedge,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,1326c569686c9e1cbe5c96162f5891202a68a4cda3d6f2b7ed7e67af954c1b2f
RCOM_HORSE_5323696,Sunshine Jenni,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,bc3fbfc19790429d996d67445db8378e69f645e44722c318342ff124fbda8475
RCOM_HORSE_5323787,Sun Setting,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,5dfe21514c56fc6096fa4110bf412d8262b82069f609830a450ffc1399bddac9
