canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,segment_sequence,segment_start_metres,segment_end_metres,segment_distance_metres,average_speed_mps,average_speed_kmh,elapsed_time_seconds,observation_semantics,source_format,source_payload_sha256,parser_version,normalisation_version,calculation_version,eligibility_status,rejection_reason
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.14,61.704,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.53,63.108,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.84,64.224,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,17.34,62.424,,CUMULATIVE_DISTANCE_POINT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,REJECTED,CUMULATIVE_POINT_NOT_USED_AS_INCREMENTAL_SEGMENT
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,1,1400,1200,200,14.340000,51.624000,13.9470,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,2,1200,1000,200,18.060000,65.016000,11.0742,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,3,1000,800,200,17.220000,61.992000,11.6144,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,4,800,600,200,17.140000,61.704000,11.6686,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,5,600,400,200,17.530000,63.108000,11.4090,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,6,400,200,200,17.840000,64.224000,11.2108,INDIVIDUAL_SEGMENT,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,racingcom_graphql_parser_v2,edgeiq_racingcom_graphql_speed_normalised_v1,edgeiq_results_elapsed_time_observations_v1,ELIGIBLE,
