source_provider,source_endpoint,source_race_id,race_key,meeting_date,venue,race_number,race_distance_metres,has_sectionals,has_results,source_page_url,source_payload_file,provenance_status
RACING.COM,getRaceForm retained local payload,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R08,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R08,2026-05-31,Sportsbet Sandown Lakeside,8,,YES,YES,https://www.racing.com/form/2026-05-31/sportsbet-sandown-lakeside/race/8/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_01fbf80b1e6eb59398.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-06-01|BET365 PARK KILMORE|R01,2026-06-01|BET365 PARK KILMORE|R01,2026-06-01,Bet365 Park Kilmore,1,,YES,YES,https://www.racing.com/form/2026-06-01/bet365-park-kilmore/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_a79edfb6abf55f7d02.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-06-01|BET365 PARK KILMORE|R02,2026-06-01|BET365 PARK KILMORE|R02,2026-06-01,Bet365 Park Kilmore,2,,YES,YES,https://www.racing.com/form/2026-06-01/bet365-park-kilmore/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_5a5ae45ea2b3ebbf66.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-06-01|BET365 PARK KILMORE|R03,2026-06-01|BET365 PARK KILMORE|R03,2026-06-01,Bet365 Park Kilmore,3,,YES,YES,https://www.racing.com/form/2026-06-01/bet365-park-kilmore/race/3/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_1813a69f73f82076e6.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-06-01|BET365 PARK KILMORE|R04,2026-06-01|BET365 PARK KILMORE|R04,2026-06-01,Bet365 Park Kilmore,4,,YES,YES,https://www.racing.com/form/2026-06-01/bet365-park-kilmore/race/4/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_f8853662af509cf56d.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-06-01|BET365 PARK KILMORE|R05,2026-06-01|BET365 PARK KILMORE|R05,2026-06-01,Bet365 Park Kilmore,5,,YES,YES,https://www.racing.com/form/2026-06-01/bet365-park-kilmore/race/5/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_ee5d92e0d70e876a11.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-06-01|BET365 PARK KILMORE|R06,2026-06-01|BET365 PARK KILMORE|R06,2026-06-01,Bet365 Park Kilmore,6,,YES,YES,https://www.racing.com/form/2026-06-01/bet365-park-kilmore/race/6/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_ad3c20d9df795ef193.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-06-01|BET365 PARK KILMORE|R07,2026-06-01|BET365 PARK KILMORE|R07,2026-06-01,Bet365 Park Kilmore,7,,YES,YES,https://www.racing.com/form/2026-06-01/bet365-park-kilmore/race/7/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_1abe6b1caefdd411a7.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-06-01|BET365 PARK KILMORE|R08,2026-06-01|BET365 PARK KILMORE|R08,2026-06-01,Bet365 Park Kilmore,8,,YES,YES,https://www.racing.com/form/2026-06-01/bet365-park-kilmore/race/8/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_1a3833665e53453892.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R01,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R01,2026-07-01,Sportsbet Sandown Lakeside,1,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/1/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_cbf2459a2e4838d2eb.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R02,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R02,2026-07-01,Sportsbet Sandown Lakeside,2,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_6b9842afac2fdb9c6e.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R03,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R03,2026-07-01,Sportsbet Sandown Lakeside,3,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/3/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_db2ce0e81cb6432a89.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R04,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R04,2026-07-01,Sportsbet Sandown Lakeside,4,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/4/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_6e1d0473a3d20a68ef.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R05,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R05,2026-07-01,Sportsbet Sandown Lakeside,5,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/5/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_9ed819531874a0a507.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R06,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R06,2026-07-01,Sportsbet Sandown Lakeside,6,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/6/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_baed7c0eaef11c9b80.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R07,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R07,2026-07-01,Sportsbet Sandown Lakeside,7,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/7/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_b87d3f378c96e6c11c.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R10,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R10,2026-07-01,Sportsbet Sandown Lakeside,10,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/10/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_4a1d9a3dc9380bfdfc.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R11,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R11,2026-07-01,Sportsbet Sandown Lakeside,11,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/11/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_90dfcb1ad4ee3a3e3d.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R12,2026-07-01|SPORTSBET SANDOWN LAKESIDE|R12,2026-07-01,Sportsbet Sandown Lakeside,12,,YES,YES,https://www.racing.com/form/2026-07-01/sportsbet-sandown-lakeside/race/12/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_7302c40ea17287b07c.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
